id,identifier,category,country_code,text,multi_label,label,text_length
3881,@@14278734,disabled,ke,"A short video explained how Alexandre Faleiros created a special boot to allow his disabled son to fulfil his dream of playing football . A group of disabled child then entered the stage wearing the boot , flanked by their parent and friend .",0,0,248
3882,@@20314088,in-need,sg,Some small company in need of specialised worker are also following suit .,0,0,77
3883,@@9921138,in-need,pk,"The human loss a a result of this `` error of judgment `` by Blair is unprecedented . Loss of life to violence is estimated to be around a quarter of a million . About five million people , or one in six Iraqi people , were displaced . The war pushed back Iraq an estimated 27 year of progress , and cost $ 394 billion in Iraqi economic revenue . Currently , 10 million Iraqis are in need of humanitarian assistance . Violence is spiralling day by day , and suicide bombing are a regular routine . Industry ha been ruined , tourism deteriorating and unemployment and insecurity at an all-time high .",0,0,601
3884,@@15766534,homeless,ke,play onlooker had to comfort the young homeless man that all would be well with Kamande ( Facebook ),0,0,101
3885,@@25745522,poor-families,gh,"Mercy Johnson is passionate about giving back to the society . She run the Mercy Johnson Foundation . The objective of this organization is to help child from poor family and widow . She make donation from time to time . We can only expect and hope for a better life for this actress . Surely , she ha worked very hard to be a successful a she is today . Currently , she is not a active in acting a she wa before she settled down . Perhaps it is because she is concentrating on raising her child .",1,0,515
3886,@@19950887,homeless,au,Others took the post regarding homelessness in the shire .,0,0,58
3887,@@4242938,hopeless,us,"Further demonstrating the abject arrogance of Apple towards older users/buyers : Just consider the acoustic in that venue . Actually they parallel Apple store with their cacophonous music and teen hubbub . Try talking sensibly to one of the Geniuses , or even more hopeless , try taking one of the lessons/tutorials ... and no , they wo not turn the music down .",0,0,364
3888,@@20615030,hopeless,bd,"`` We feel helpless and hopeless , `` said Rohingya youth leader Ali Johar , who came to India in 2012 and life with his family in a Delhi settlement .",0,0,150
3889,@@1518276,in-need,in,"The Kathak piece Bandhare Beechdagar Mori in Bairagi wa more in need of aAbhinaya . Her lehanga , the ankle length skirt , completely covered the ankle and foot tied with the gGhungru and these small bell on the ankle only surfaced while dancing the final step . The footwork ended in a crescendo . B. Gopal Pundit and Lakshmi Srinivas are her Kathak guru .",0,0,362
3890,@@4031041,women,ca,The woman double title wa captured by Marlene Culbert of Hodgeville and good friend Dorothy Zimmer of Regina . Roberta Wheeler of Nipawin partnered up with Lowine Binkley of Hudson Bay and knocked out the local mother daughter team of Megan and Laurie Lyons in the semi final to move on to the final .,0,0,306
3891,@@21761633,migrant,ng,"The Consul General of the Federal Republic of Nigeria to China , Mr. Wale Oloko , say Nigerians are not the target of the recent Chinese police action on illegal immigrant in Guangzhou , China , a is being circulated in and out of the country .",0,0,248
3892,@@20242298,hopeless,ca,But the problem do not end at the border . Part of the reason for this influx is that the existing refugee determination process that is centred in the Immigration and Refugee Board is hopelessly backlogged and pretty much guarantee year of residency in Canada before there is some possibility of removal .,0,0,309
3893,@@3749163,hopeless,gb,"YOU SAY & gt ; BAA ( like a sheep ) -- ROO -- DUR ( rhyme with fur ) WHAT IT MEANS & gt ; Who doe not love a long , lone breakaway -- those plucky underdog trying , usually hopelessly , to stay away from the speeding peloton ? The French have a word for them , and that word is baroudeur . It come from the Arabic , where it meaning is `` dynamite `` . The French use it to mean `` adventurer `` and in bike racing it all about the rider who like to put a bomb under the race and go off on the attack .",0,0,503
3894,@@4935826,disabled,sg,"The bench , meanwhile , ha asked the government to consider representation of a physically challenged man Nipun Malhotra , one of the petitioner who ha urged the court to allow such commuter to use their own vehicle a public transport is not disabled-friendly .",0,0,266
3895,@@20702161,migrant,lk,"( Begin Quote ) Section 1 . The entry into the United States , a immigrant or nonimmigrants , of the following person is hereby suspended :",0,0,142
3896,@@7948593,poor-families,in,She reminded people that it wa during the Trinamool rule that the scheme of providing rice at Rs 2/kg to poor family wa started in the state .,0,0,146
3897,@@4513399,women,jm,"Marks join an illustrious cadre of woman who have held the rank of ambassador at the United Nations , London , Ottawa , Mexico City , Havana , Brussels , Port of Spain and , of course , Paris . It is no longer breaking a gender `` glass ceiling `` because there are now about 25 female ambassador accredited to the White House .",0,0,328
3898,@@3285016,women,ph,"This despite the fact that woman worked more than men , on average doing almost two and a half time a much unpaid care and domestic work a men . According to UN Women , if paid and unpaid work were combined , woman in almost all country worked longer hour than men each day .",0,0,281
3899,@@1859058,homeless,ke,Marsabit Governor Ukur Yattani told Crime Watch that most of those returning did not have food with some even homeless after their house were torched during the attack .,0,0,171
3900,@@13601736,immigrant,za,"Trump , though , is undercutting that message . His proposal to conduct mass deportation of undocumented immigrant and temporarily bar Muslims from entering the US are alienating minority voter . The staff member inside the new Republican office on Ridgewood Fresh Pond Road declined to comment when approached by a reporter , and the RNC declined to discus the leadership initiative .",0,0,393
3901,@@8507740,disabled,ke,"`` The national and county government must work together to improve the life of the disabled , `` said Pratt .",0,0,110
3902,@@20746215,immigrant,lk,"In 1981 , Gen. ( retd ) Ne Win relinquished power , handing it over to another retired General . The new military-backed government brought about a citizenship law which recognized 135 community in Myanmar a `` indigenous `` and these were given citizenship right . But the Rohingyas were declared `` illegal immigrant `` and denied citizenship ..",0,0,348
3903,@@23968709,poor-families,au,The victim were mostly from poor family in Punjab and were employed by a construction company in Mosul when they were abducted by extremist .,0,0,145
3904,@@2152112,refugee,hk,"As seen with the attack in Paris , the threat is not only refugee fleeing a war zone , but citizen returning from the battlefield radicalized and prepared to wage war in their own homeland . With hundred of Chinese citizen now fighting alongside of Daesh , border security should now be considered extremely important to Hong Kong and Chinese authority to identify anyone who could be considered a threat .",0,0,413
3905,@@10020757,refugee,pk,More than a million refugee and migrant arrived in Europe in 2015 -- many of them fleeing the war in Syria -- in the worst crisis of it kind to face the continent since World War II .,0,0,186
3906,@@16582135,vulnerable,my,"What doe this mean ? First , given government revenue source are status quo with our wealth of oil and natural resource , welfare program need not even mean we have to start paying more personal income tax . Second , there is much room still for welfare program to positively contribute to employment empowerment , education and socio-economic well being of vulnerable Malaysians without necessarily resulting in laze , complacency or over-dependency .",0,0,459
3907,@@1342267,disabled,gb,"Now , for the first time , Colin and Denise have spoken out about the `` misery `` caused to their disabled son .",0,0,111
3908,@@9724695,disabled,us,"DHS report an average of nearly 615,000 Oklahomans received SNAP benefit last year , mostly child , senior and the disabled .",0,0,131
3909,@@10368922,poor-families,pk,"It been designed for poor family , whose daily income is le than $ 2 ( Rs 200 ) , and provides free-of-cost access to secondary a well a priority disease treatment . The annual cover of the scheme is up to Rs 300,000 and is extendable to Rs 600,000 . The programme cover heart disease ( angioplasty/bypass ) , diabetes mellitus , burn and RTA ( life , limb saving treatment , implant , prosthesis ) , End-stage kidney diseases/dialysis , chronic infection ( Hepatitis/HIV ) , organ failure ( liver , kidney , heart , lung ) and cancer ( chemo , radio , surgery ) .",0,0,576
3911,@@21967289,disabled,gh,"In tackling the pivotal challenge of disabled person in Ghana , the government ha a significant role to play in the area of disabled political representation , inclusive education and inclusive employment .",0,0,210
3912,@@20424715,hopeless,in,"I remember how hopeless I felt a a young girl being excluded from political discussion , perhaps because the men being part of the debate believed they knew everything that wa going wrong in politics . But none of them actively engaged to bring about any difference . There is a stereotyped image of men with their cup of chai following a dialogue concerning the political domain while woman are largely associated with domestic gossip .",0,0,441
3913,@@4558192,women,jm,"`` The woman do go ( to antenatal clinic ) , but then sometimes there need to be greater attention placed on these disease during pregnancy , `` she said .",0,0,157
3914,@@934902,in-need,gb,"`` I will work hard to ensure that crime level in our area continue to stay low , that our investigation are thorough and that we help to look after and protect those in need .",1,0,177
3915,@@14185034,women,us,"`` It is worth trying , `` he said , because `` there are woman , child , innocent civilian who can get food and medical supply to get some relief from the terror of constant bombing . `` Citing `` grave difference , `` Obama said that `` it premature for u to say there a clear path forward , but there the possibility , at least for u , to make some progress . ``",1,0,376
3916,@@211851,homeless,au,"A new model for both housing & amp ; work is needed to end homelessness , accommodate refugee and address climate change . If you support `` a right to shelter `` you 'd surely support a right to build it for yourself http : //on.fb.me/13jnH5f",1,0,240
3917,@@25348188,migrant,sg,"`` The government ha no comprehensive way of reuniting immigrant family , `` organizer Kerry Kennedy tell Yahoo Lifestyle . `` We have heard story of parent being deported and child who have re-crossed the border alone or distributed to 15 different state . A lawyer told u that one facility is relying on family photo to reunite family . ``",0,0,352
3918,@@25451400,vulnerable,gh,"Jordan Henderson ha been Southgate trusted midfield pivot , performing well in England two win . His role a the foundation of England system will be even more crucial against better opposition , a he will be relied upon to protect a potentially vulnerable defence .",0,0,278
3919,@@4554447,disabled,jm,News < h > Bloomfield to bat for disabled person,4,1,47
3920,@@3480066,homeless,lk,"5 ) Most Buddhist institution and temple collectively have no programme to assist refugee , or provide shelter for homeless child or provide rehabilitation service . In contrast , the well established Christian church and new evangelical group are active at village and town level in helping affected individual e.g . victim of political violence , come to term with their grief . Further , they also help people to cope with more mundane problem ( 22 ) .",2,1,470
3921,@@15013542,disabled,sg,HONG KONG * The authority in Hong Kong are closing down a nursing home for the disabled following a sex scandal and report of suspicious death at the centre .,0,0,162
3922,@@14416735,refugee,my,"`` The humanitarian architecture ha not kept pace with this increase in individual , `` she said , adding that `` more refugee live in city than in camp today , and they are living there longer than they ever have before . ``",0,0,227
3923,@@18417308,disabled,lk,"National Integration and Reconciliation Ministry Secretary V. Sivagnanasothy said the project would also provide livelihood support to conflict-affected vulnerable family specially the refugee returnees , internally displaced person ( IDPs ) and war victim . He said assistance would be prioritized to family headed by woman , family with disability , disabled ex-combatants , family with missing person and those living under extreme poverty .",0,0,457
3924,@@18558586,poor-families,my,"`` I believe the situation will worsen during the fasting month when more people are keen to donate food to the poor family , including those in the city , `` Lee said .",3,1,171
3925,@@4558110,hopeless,jm,"`` We going to have to make sure that the social chasm between Goodwin Park and Campion College is bridged , `` he declared . `` So many of our child from the inner city who do very well and go there experience hopeless social problem . ``",0,0,239
3926,@@10352128,refugee,za,"The development further fanned fear in Greece that it may become a buffer for many thousand of refugee stranded on it soil . `` We will need camp and we will set them up , `` Greek minister in charge of migrant , Ioannis Mouzalas , told state TV ERT .",0,0,254
3927,@@17588524,poor-families,ph,"The Bureau of Fire Protection ( BFP ) always warns u about unattended stove and kitchen fire . Never ever leave a fire in the kitchen unattended , whether it be gas , electric , or open fire . Then there our tendency to overload electrical system . Most urban poor family use octopus wire and use all outlet available resulting to hotwiring that have caused many a conflagration . Candles are also among the most common cause . This is even more dangerous because most of those who use candle are the poor who live in cramp space where a single fire could easily engulf a whole community in minute .",0,0,614
3928,@@23840130,immigrant,hk,"Although belonging to an immigrant group known for it ability to converse fluently in Cantonese , most second-generation Indians and Pakistanis -- despite speaking no le than three language -- have not been given the right opportunity to thrive , much to the loss of myopic Hong Kong .",0,0,291
3929,@@19876229,disabled,ie,"This ? 250,000 Lambo wa snapped parked in a clearly-marked disabled bay in Bristol",0,0,83
3930,@@2931611,homeless,au,"Two reason specified for the rise in homelessness are the diminishing availability of affordable rental property , and growing number of woman fleeing violence . With that in mind , we commend the Andrews government for meeting it commitment to fund a royal commission into family violence .",0,0,296
3931,@@21704795,homeless,lk,"It ha left at least 57 people injured and more than 1,500 homeless .",0,0,69
3932,@@20548081,immigrant,ke,"The police have on several occasion rounded up dozen of illegal immigrant especially from Ethiopia , who have been discovered locked up in congested room in Kenyan town and city .",0,0,186
3933,@@20016996,in-need,ng,"This is not a task for Buhari medium te ? am . But just a they tried to put out a fire in London , anot ? her had already star ? ted at home . By the way , a Presidential medium department is a Fire Service office and an ambulance operation . There is always another fire next time and victim in need of desperate rescue . In the pr ? esent instance , a gr ? oup called `` Our-mumu ? -don-do `` group , led by Charly Boy , the self-acclaimed Area Fada of Frustrated Nigerians had begun a protest in Abuja ask ? ing President Buhari to resume office or resign .",0,0,561
3934,@@4692937,vulnerable,pk,"Hazara student now have no option but to go to university on their own . No rickshaw are allowed inside Marriabad and Hazara town , and the one inside ca not go out . Everything is more expensive on Alamdar Road and in Hazara Town a a result . Even the one proper varsity in Quetta , Balochistan University , offer no security to Hazaras , especially during their commute . Their distinct feature make them vulnerable to targeted attack and a a result most Hazaras feel insecure . `` We are prepared that anything can happen anywhere . Sometimes I get scared even when I 'm at home , `` say Kausar .",0,0,606
3935,@@22583431,vulnerable,nz,"Ecuador heavily regulates tourism in the Galapagos a part of it environmental conservation policy , but Fodor say the island ' fragile ecosystem remain vulnerable .",0,0,174
3936,@@24719366,immigrant,gh,"On the level of education of immigrant in the US , the report produced by Bloomberg Justin Fox named India , which ha over 2.1 million immigrant in the US a highly educated , having at least a bachelor degree .",0,0,220
3937,@@4640989,disabled,jm,"Labour and Social Security Minister Derrick Kellier , in piloting the bill , said 10 per cent of Jamaicans are disabled and argued that the bill , when passed into law , would pave the way for all person within the society to make a contribution to economic growth and national development .",1,0,292
3938,@@70022075,poor-families,us,"One such case wa that of the 1936 black-and-white photograph of Florence Owens Thompson that became the iconic image of the `` Migrant Mother `` during the Depression . Photographer Dorothea Lange took the picture for Resettlement Administration , a New Deal agency tasked with helping poor family relocate . It showed Thompson , with her child , living in poverty .",0,0,370
3939,@@21554019,refugee,nz,"The UN say even when the new site is ready , it 'll only ever be a temporary option and refugee must be resettled in other country .",0,0,136
3940,@@2097787,vulnerable,ph,"Poe , an independent presidential candidate , made the call since the Philippines is admittedly one of the world most vulnerable country to natural calamity . This fact wa highlighted by this week typhoon ' ' Lando ' ' that wreak Luzon .",0,0,248
3941,@@4685515,migrant,bd,"We have good reason to believe that the number of Bangladeshis among the migrant is being exaggerated . Their actual number can be known only after proper verification . It is , therefore , important that Bangladesh embassy abroad promptly and carefully verify the identity of all those rescued who claim to be Bangladeshis and clarify any inconsistency .",0,0,362
3942,@@18581621,poor-families,sg,"Both came from poor family and had little to no education . For the next five year , each would donate half her salary to the school so that street child could be educated for free .",0,0,188
3943,@@18798895,poor-families,za,"`` There are many poor family , particularly in South Africa township and rural area , but you never see parent being separated from their child simply because they are struggling financially , `` he said .",0,0,215
3944,@@7793176,immigrant,gb,"Organisers of the New York rally , including immigrant ' right activist and socialist group , denounced Trump rhetoric and extreme , if often extremely vague , plan to `` make America great again `` .",0,0,206
3945,@@40081830,poor-families,sg,"The police said that the well-organised racket involved ' agent ' in Hyderabad and Gulf country , who lured poor family with the promise to pull them out of poverty and convinced them to marry off their daughter to sheikh and other rich foreign national .",0,0,263
3946,@@24941755,migrant,my,"`` Since it launch in February 2016 to last Monday , 744,942 illegal immigrant and 83,919 employer had registered under the Rehiring Programme , `` he said in a statement here yesterday .",0,0,188
3947,@@4911085,vulnerable,sg,"In addition , government agreed to balance public funding between adaptation and mitigation , and agreed to significantly increase support for adaptation before 2020 , which is of vital importance for the most vulnerable country dealing with the impact of a warmer world . Countries also committed to improve reporting on finance , with everyone providing information about finance provided or received , a appropriate .",0,0,425
3948,@@23486351,vulnerable,sg,"`` These can be space where the elderly are not customer or care recipient , but custodian of our child and they can serve a traffic warden , canteen operator , crowd controller , storyteller or teaching assistant , `` said Mr Ng , chief executive of local charity Equal-Ark , which rehabilitates vulnerable person by working with therapy horse .",0,0,359
3949,@@4633323,disabled,jm,"But the widespread consultation , which at time pitted member of the disabled community against each other , caused a lengthy delay that wa settled earlier this year .",0,0,171
3950,@@17536855,refugee,hk,"A spike in refugee claim for the first two month put Canada on track for the highest number since at least 2011 , with 20 percent of claimant caught crossing the border into Canada illegally . Growing number of asylum-seekers are coming in the wake of US President Donald Trump pledge to crack down on refugee and undocumented immigrant . Canada government ha taken heat from opponent for it ...",0,0,409
3951,@@17362674,vulnerable,gh,Friday statement said that $ 100 million will `` aim to develop system to ensure that social programme are better targeted and reach the most vulnerable Moroccans `` .,0,0,169
3952,@@16853425,poor-families,ke,"The data examines recent Demographic and Health Surveys from 24 country in Africa , and suggests that perhaps poor family headed by woman gain relatively high economic return to the new opportunity unleashed by growth , simply because they are starting from a low base and so have more catching up to do .",0,0,312
3953,@@22148596,in-need,in,The app ha also been a hub-ground for those who are always in need of platform to showcase their talent and wish to turn their passion into profession .,0,0,154
3954,@@1815374,homeless,tz,"`` If a single human being is rendered homeless and forced to live in the street in any country , it is shame to the people of that country , `` he add .",2,1,152
3955,@@21399221,in-need,ie,"Some 10,000 Dublin social housing flat , almost three-quarters of the city stock , are in need of `` significant regeneration `` and should be demolished , a new report from Dublin City Council say .",0,0,202
3956,@@4666208,women,bd,"They demanded an international inquiry into the Baga massacre , which reportedly left 2,000 people , mostly woman , child and elderly , dead and urged the EU to step up it assistance to Nigeria and it neighbour in fighting terrorism and it cause .",0,0,255
3957,@@1880781,disabled,tz,"However , disabled child need more attention in term of curriculum adaptation , teaching method , and availability of teaching and learning material , assistive technology , assessment system , a well a fund for more assistance in adapting the school environment , according to Hassan Katundua the person in charge of institution for people with disability in Mkuranga district .",0,0,392
3958,@@26276190,women,ke,"Safr - whose imminent arrival wa first reported by DCist - may be an improvement over Chariot for Women , and Gilani sound sincere in his view that this service will help and empower woman . But it still seems like a bad idea .",0,0,229
3959,@@1957497,poor-families,ke,"Mrs Gachagua attributed her kind gesture to a perennial , disturbing sight of despondent child from poor family gawping at kid from rich household a they make merry during festive season .",4,1,197
3960,@@10204968,poor-families,lk,"He also urged India to be vigilant to the need , hope and aspiration of ordinary Sri Lankans , so that recurring issue , like the bottom trawling crisis in the North of Sri Lanka , which not only affect the livelihood of thousand of poor family and result in dangerous environmental damage to the rich seafloor of the Palk Straits , are resolved and do not give cause to anti-Indian feeling .",0,0,402
3961,@@15171762,disabled,lk,"`` All administrative formality , related to pension payment of agitating disabled War Heroes who have volunteered to retire before the due retirement day ( before completion of 12 year of service ) , are being attended to in order to fulfill their demand by February 2017 , `` Sri Lanka Army Headquarters said in a press release .",0,0,334
3962,@@16851307,disabled,sg,"Democrats also criticized Price for his opposition to Obamacare , his idea about restructuring the Medicare programme for the elderly and disabled , and his opposition to Planned Parenthood , an organisation that provides abortion and other affordable healthcare and education service .",0,0,289
3964,@@15340587,homeless,ng,"Amnesty International called on Nigeria to shelve plan to demolish more illegal settlement in the megacity Lagos a several hundred of thousand of people could be made homeless , it said on Friday .",0,0,202
3965,@@232714,hopeless,ie,"He may well have depression and this may have led him to become so withdrawn , reclusive , lethargic , and trapped . Or his lifestyle and daily habit may have led to him becoming depressed and hopeless .",3,1,204
3966,@@1805445,vulnerable,ke,`` I offer every support to Ertharin Cousin and wish her the greatest success at this critical time for the world most vulnerable nation and people . ``,1,0,154
3967,@@4232828,disabled,gb,My partially disabled son life in an upstairs flat in a converted house . There is no fire escape and my son will not tackle the landlord about it .,0,0,149
3968,@@2014173,disabled,za,"Just like the diversity that defines South Africa many different community , the eco gym are all different too . Currently there are eight different range , catering for everyone from kid to the elderly , and even the disabled .",0,0,236
3969,@@20645323,homeless,au,"The ABC initial post on the death of Brett , one of about 30 homeless people living in and around Cotton Tree , sparked hundred of comment .",0,0,145
3970,@@20575450,migrant,nz,"He estimated about 20 per cent of job seeker were immigrant . Tauranga wa a particularly attractive destination for South Africans because of the seaside location , climate and affluence .",0,0,191
3971,@@2855790,homeless,ca,But the goal is not only to get the reality of homelessness onto social medium .,2,1,79
3972,@@651191,homeless,ph,"Around 95 % of house were destroyed , leaving many homeless . While many have started rebuilding , others spend the night exposed to the element .",1,0,147
3973,@@9516982,refugee,ie,"Artists including Coldplay and Muse will contribute song from their upcoming Glastonbury set to Oxfam Presents : Stand As One -- Live at Glastonbury 2016 , a first-of-its-kind live album in support of Oxfam work with refugee worldwide .",2,1,242
3974,@@18528044,homeless,sg,"`` I would request the Lieutenant Governor to take some serious action against DDA official for showing such inhuman behaviour by demolishing the shelter home of homeless people , `` Rai told ANI .",1,0,196
3975,@@19431883,immigrant,gh,"The issue of deportation of undocumented immigrant wa a key campaign message of then candidate Trump , who led the Republican Party in the 2016 US election .",0,0,160
3976,@@3649823,refugee,gb,"Lawyers and refugee advocate immediately linked the announcement to the high court challenge being heard in Canberra on Wednesday and Thursday , seeking to contest the constitutionality of Australia funding and participation in offshore detention , an assertion dismissed by the immigration minister , Peter Dutton .",0,0,320
3977,@@13665846,vulnerable,nz,Labour child spokeswoman Jacinda Ardern ha called for a Ministry for Children . She said labelling kid a vulnerable is `` stigmatising `` and `` unnecessarily narrow `` the range of issue the ministry can cover .,0,0,222
3978,@@15926225,women,us,"Sandra Day O'Connor famously had a cushion in her chamber hand-embroidered with the word `` Maybe in error but never in doubt . `` Of all the memorable quality O'Connor modeled a the first female justice , to my mind the most crucial wa her unwillingness to stew or fret over past mistake or to become immobilized by fear that she did not know enough . O'Connor wa often maddening for liberal because she evinced few regret over her vote in Bush v. Gore , and she wa often content to decide case a if hers wa the only worldview that mattered . But to me , O'Connor will always stand for the idea that when in doubt , do not be in doubt . That a useful lesson for woman pondering running for office , going to law school , or organizing a protest in the coming year .",0,0,783
3979,@@25436640,in-need,us,"I know this because I have seen them at work , volunteering many hour of time they could be spending with their family helping those in need .",0,0,145
3980,@@15773733,in-need,lk,"Minister Rajitha Senarathne said the current tender procedure of the Government will be changed from January 2017 , in order to accelerate the process . Minister Senarathne added that it currently take more than nine month to obtain equipment required by the Health Ministry when state health institution are in need of the equipment sooner .",0,0,345
3981,@@20766018,disabled,jm,Fayval Williams host back to school treat for disabled student,0,0,64
3982,@@9578372,in-need,hk,The catastrophic result of the referendum show that the traditional way of communication are badly in need of reform .,0,0,120
3983,@@17263761,in-need,ke,"Despite the fight by the national and county government and non-governmental organisation , many resident are still in need of food , water and medicine .",0,0,157
3984,@@15594222,migrant,lk,"Only in America , a nation built on a history of immigration , could a man who married two immigrant -- one of whom is alleged to have worked illegally when she first arrived -- run on an anti-immigration platform .",0,0,216
3985,@@17428201,homeless,us,"SF haul ton of trash , thousand of needle from homeless camp",0,0,65
3986,@@3185321,poor-families,ph,Cuizon said butane canister refilled with LPG are popular especially among urban poor family in the city because these are cheaper compared to regular LPG tank .,0,0,165
3987,@@19871115,migrant,my,"He said if employer continue to risk arrest and hire illegal foreign worker , the problem of illegal immigrant will never be solved .",0,0,136
3988,@@7419521,refugee,au,But he said discrimination against refugee wa common . < h > It wa like a ' miracle ' when they arrived,1,0,104
3989,@@4524344,migrant,jm,"Agriculture ha much room for expansion , but only on a high-technology basis which , if pursued , could be a winner . Remittances have steady but not dramatic growth prospect . Indeed , better prospect exist , but only with the expansion of higher education to provide for future migrant and greater remittance prospect .",0,0,326
3990,@@14195970,vulnerable,sg,The kit is intended to protect vulnerable equipment and prevent failure,0,0,71
3991,@@19410239,in-need,hk,"Summing up , David Tiltman , WARC head of content , said : `` The Future of Strategy report uncovers a discipline that is gaining influence , with marketer increasingly in need of sound advice in a fast-changing industry . But strategist face many future obstacle , including the fragmentation of skillsets , tightening budget and a growing threat from consultancy . ``",0,0,376
3992,@@24957814,migrant,sg,"Chancellor Angela Merkel decision in 2015 to take in more than one million migrant brought the challenge of integration to the fore and upended German politics . Anti-immigrant sentiment propelled the far-right Alternative fur Deutschland to third in the 2017 election . Yet it is earlier generation of Arab migrant in place like Sonnenallee who often show the greatest resentment to the newcomer , `` more than Germans , `` said Rasha Alkhadra , a 42-year-old YouTube blogger from Syria .",0,0,496
3993,@@13786684,immigrant,ke,He seems to blame all American problem to immigrant and foreign power . He ha repeatedly said he will build a wall between the US and Mexico and make Mexicans pay for it !,0,0,175
3994,@@13712458,vulnerable,sg,"`` The reporting of a suspected case of abuse , neglect or self-neglect of a vulnerable adult to the ministry - either directly or through social medium - would thus not be flouting the law . ``",0,0,191
3995,@@2458383,in-need,au,"One of the detained observer is in need of urgent medical care , Ukraine security service said in a statement .",0,0,115
3996,@@18740183,women,ca,`` The woman who are living it -- the inquiry should hear from u . ``,0,0,68
3997,@@18260119,women,ke,"Joan Ndarathi , an ardent rider , confesses that her family wa very concerned when she started biking . Ms Ndarathi is a member of an all-ladies biking club called Heels on Steel . She also belongs to Super Heroes , which is open to both men and woman .",0,0,254
3998,@@562414,immigrant,gb,These are the brain who considered that an uncontrolled influx of five million immigrant would be good for our country at a time when job for our young wa at an all-time low . It wa when our road and rail where grossly overcrowded and when our NHS wa stretched to capacity .,0,0,282
3999,@@4692073,disabled,my,"`` Then I tried taking the bus around town , it wa so easy with all the facility they have for the disabled . It wa a real culture shock for me , I did not think it wa possible for a person with disability to be so mobile , `` say the disability right activist and former Petaling Jaya city councillor .",0,0,308
4000,@@3460483,in-need,ph,"People tend to associate sexual urge with horny teenager , philandering husband and nymphomaniac . But LLL reminds u that even senior citizen , couple who have been married for decade , and person with disability are more than marginalized population in need of Viagra or a distraction . They have sexual urge ! And they are perfectly capable of having satisfying , exciting sex life .",0,0,399
4001,@@26029325,women,sg,Everyone know that negotiation is key to getting the salary you deserve . But a shocking statistic is that more than half of ( 52 percent ) men and almost 70 percent of woman employee accept whatever salary they are offered .,0,0,227
4002,@@4635670,immigrant,pk,"At the same time , the vice president will leave very clear that , like other undocumented immigrant , these child are subject to deportation , a Secretary of Homeland Security , Jeh Johnson said yesterday . In this sense , the goal of Biden , a stated on Sunday will combat the `` misunderstanding `` that these child receive some kind of `` special treatment `` in the area of residence . `` Not worth it , no light at the end of the tunnel for these child at a residence in the U.S. , `` he said . `` Illegal immigration is not safe , put your child in the hand of a criminal organization is not safe . ``",1,0,614
4003,@@26249216,hopeless,nz,It just seems hopeless .,1,0,24
4004,@@3480231,migrant,ph,"5 . What are the benefit of the `` provisional waiver `` program ? This procedure would allow qualified alien , with a US citizen or LPR parent or spouse , to apply for a waiver of the 3/10 year bar , while still in the US , and before they depart the US for immigrant visa processing overseas . If the waiver is granted , they would then depart the US ( with the approved waiver in hand ) , and would not have to wait several month outside the US to process that 3/10 year bar waiver .",0,0,487
4005,@@4233089,in-need,au,"`` Following all the wonderful support we Olympians have received from the Australian people , I wa pleased the Olympic family could return this support and make a financial contribution to Australians in need . ``",1,0,213
4006,@@4243800,in-need,ie,"TOG.ie provides all this to it user for a small membership fee , which is used to fund the running of class , event ; the purchasing of equipment , and the rent of space and amenity on a not-for-profit basis . But while TOG is doing well it is still in need of member with diverse interest .",0,0,300
4007,@@3350386,poor-families,us,Kentucky hide identity of store penalized for breaking rule of food program for poor family,0,0,96
4008,@@8549422,refugee,za,"About 40 refugee have been identified by the IOC a possible contender in various sport , with a selection to be made in June , a UN refugee agency source told AFP .",0,0,168
4009,@@24190955,immigrant,ke,"After the arrival of the first group of West Indian immigrant on the ship Empire Windrush in 1948 , many more followed to help rebuild Britain in the wake of World War II .",0,0,173
4010,@@70057677,in-need,jm,"`` We are in need of boxing official in Jamaica and we are starting a programme on that . We are going on a recruitment drive for boxing official , `` said the boxing board General Secretary Leroy Brown .",0,0,207
4011,@@4583291,disabled,jm,"On the other hand , we have such vigilance in protecting what leaf here that government agent have strip-searched national honouree , sport icon and advocate for the disabled , Sarah Newland-Martin , who ha been been subject to humiliating search . True , she is not a sexy young woman and her name is not Myrie , but what we did to her is worse because she wa in her country that she had served for more than 40 year . At least the Barbadians did not know who she wa . We do not look after our own .",0,0,510
4012,@@19817697,immigrant,ph,"NEW YORK - The number of American church declaring themselves sanctuary for illegal immigrant ha more than doubled since President Donald Trump wa elected , but only a dozen people are known to be taking refuge there to avoid deportation .",0,0,246
4013,@@22038154,in-need,gb,"Sophia Evgeniou , digital director at Nails Inc said : `` As a new addition to the Nails Inc team , and at an extremely hectic time of year , it wa obvious the customer journey wa in need of some attention . In order to not disrupt the site and with limited time to make change , the opportunity to try something new and fun , which is useful for customer and improved their journey wa one we could not say no to .",0,0,419
4014,@@9061490,in-need,nz,Accountability is suggesting that the people so in need of our help and support could have done a little bit more to help themselves .,4,1,134
4015,@@20775766,poor-families,in,"After HSRA demise , Durga Bhabhi moved to Lucknow in 1940 and started a school called the Lucknow Montessori School for child belonging to poor family . Prior to setting up the school , Durga Bhabhi visited Madras in 1939 and received montessori training . She ran the school till 1975 when she moved to Ghaziabad .",0,0,323
